Date,Open,High,Low,Close,Volume
10/11/2023,"87.20","88.89","85.28","85.82","654,765"
10/10/2023,"87.47","89.15","86.68","87.16","545,245"
10/09/2023,"87.29","88.60","84.50","87.52","859,519"
10/06/2023,"86.64","90.88","86.64","90.32","350,886"
10/05/2023,"88.24","88.24","85.08","87.67","439,440"
10/04/2023,"87.70","88.65","86.51","88.64","342,087"
10/03/2023,"89.52","90.28","87.32","87.50","396,624"
10/02/2023,"91.69","92.63","90.44","90.74","386,845"
09/29/2023,"92.00","93.62","91.26","91.80","440,987"
09/28/2023,"88.75","91.50","87.82","91.09","586,999"
09/27/2023,"88.54","89.71","87.24","88.67","333,355"
09/26/2023,"89.68","90.78","87.80","88.40","501,979"
09/25/2023,"88.88","91.31","88.88","90.33","553,593"
09/22/2023,"91.52","92.32","89.97","89.97","389,465"
09/21/2023,"92.65","92.72","88.91","89.93","721,567"
09/20/2023,"94.13","95.43","93.45","94.05","345,643"
09/19/2023,"94.28","94.89","92.93","94.24","481,678"
09/18/2023,"94.88","95.37","93.55","94.70","399,328"
09/15/2023,"93.90","95.91","93.43","95.32","760,440"
09/14/2023,"93.44","94.23","92.33","93.65","352,428"
09/13/2023,"93.88","94.44","91.87","92.76","398,508"
09/12/2023,"93.65","95.78","92.98","94.95","552,921"
09/11/2023,"93.34","95.60","92.84","94.68","396,403"
09/08/2023,"94.24","95.29","92.32","93.07","348,392"
09/07/2023,"95.34","95.34","93.00","94.40","680,178"
09/06/2023,"95.34","97.42","94.76","96.88","433,619"
09/05/2023,"96.48","97.06","94.83","95.23","467,142"
09/01/2023,"100.00","101.16","96.79","97.46","564,423"
08/31/2023,"96.71","99.32","96.71","98.77","528,462"
08/30/2023,"93.11","96.62","92.37","96.56","479,837"
08/29/2023,"91.96","94.97","91.77","93.87","362,841"
08/28/2023,"92.71","93.25","91.87","92.41","482,601"
08/25/2023,"90.19","93.08","90.17","92.48","447,608"
08/24/2023,"92.60","92.60","89.87","90.60","358,989"
08/23/2023,"90.48","92.42","89.23","91.57","412,408"
08/22/2023,"89.01","90.98","86.66","90.48","777,612"
08/21/2023,"87.12","89.30","86.91","88.26","545,734"
08/18/2023,"85.55","87.75","84.30","87.03","620,196"
08/17/2023,"88.82","89.00","87.15","87.16","647,261"
08/16/2023,"88.72","91.11","87.39","89.56","629,970"
08/15/2023,"88.68","90.49","88.02","89.01","657,554"
08/14/2023,"88.87","89.70","87.76","89.28","758,539"
08/11/2023,"93.49","93.49","89.70","89.80","627,592"
08/10/2023,"93.07","95.44","91.84","92.08","753,186"
08/09/2023,"90.83","92.18","89.14","90.41","622,090"
08/08/2023,"92.26","94.17","90.71","91.00","826,711"
08/07/2023,"95.25","96.39","93.93","94.87","850,973"
08/04/2023,"101.75","102.82","93.89","94.21","958,992"
08/03/2023,"96.70","100.73","92.64","99.96","2,085,220"
08/02/2023,"91.06","91.42","85.91","88.51","1,161,402"
08/01/2023,"92.99","94.96","91.72","93.25","881,351"
07/31/2023,"89.08","94.54","89.08","94.32","1,139,053"
07/28/2023,"87.53","89.66","87.32","88.69","618,083"
07/27/2023,"89.89","90.08","85.26","85.86","699,909"
07/26/2023,"84.73","87.55","84.10","87.44","552,894"
07/25/2023,"84.88","85.79","84.44","84.97","612,729"
07/24/2023,"83.62","84.69","82.58","83.79","605,089"
07/21/2023,"85.42","86.00","82.81","83.62","887,381"
07/20/2023,"90.36","90.51","84.14","84.52","1,461,225"
07/19/2023,"88.15","92.36","88.15","92.33","1,798,522"
07/18/2023,"83.76","88.44","82.46","87.00","1,054,078"
07/17/2023,"79.14","83.55","78.55","83.10","868,180"
07/14/2023,"79.84","80.91","78.74","79.38","522,067"
07/13/2023,"78.61","81.12","78.53","80.02","629,705"
07/12/2023,"79.35","79.40","77.25","78.22","613,849"
07/11/2023,"75.41","78.45","75.40","78.08","996,667"
07/10/2023,"75.64","77.00","75.09","75.42","787,827"
07/07/2023,"76.92","77.68","75.98","76.14","535,153"
07/06/2023,"76.16","77.01","75.12","76.80","917,122"
07/05/2023,"77.23","78.71","76.41","77.90","838,951"
07/03/2023,"78.82","78.99","76.78","78.27","482,490"
06/30/2023,"78.27","80.02","77.54","78.24","920,574"
06/29/2023,"77.81","78.60","76.11","77.11","864,844"
06/28/2023,"77.71","79.46","76.69","78.15","1,037,681"
06/27/2023,"76.33","76.73","74.41","75.41","1,468,751"
06/26/2023,"77.38","79.05","76.08","76.11","1,025,697"
06/23/2023,"77.34","78.43","76.86","77.59","4,590,129"
06/22/2023,"78.43","79.55","76.42","78.98","1,438,401"
06/21/2023,"79.96","80.47","77.13","79.15","1,202,788"
06/20/2023,"84.15","85.09","78.35","79.63","1,558,206"
06/16/2023,"90.47","90.95","84.29","85.02","1,589,614"
06/15/2023,"84.36","90.58","83.11","89.15","1,652,310"
06/14/2023,"81.18","86.96","80.90","85.28","1,467,975"
06/13/2023,"77.56","81.88","77.42","81.56","1,262,701"
06/12/2023,"74.72","76.54","74.58","76.31","653,884"
06/09/2023,"73.64","76.11","73.52","73.82","795,480"
06/08/2023,"73.86","75.86","73.39","73.53","708,652"
06/07/2023,"77.59","78.11","73.91","73.99","1,240,747"
06/06/2023,"75.19","78.65","74.75","77.44","981,716"
06/05/2023,"76.07","76.07","74.38","75.61","875,043"
06/02/2023,"76.50","77.62","76.04","76.54","632,377"
06/01/2023,"75.35","76.95","74.70","76.00","843,853"
05/31/2023,"74.53","76.89","74.24","76.22","1,076,490"
05/30/2023,"78.19","78.85","74.46","74.93","1,041,369"
05/26/2023,"76.71","78.57","76.58","77.65","650,544"
05/25/2023,"78.51","78.97","75.86","77.00","971,472"
05/24/2023,"76.96","79.25","76.38","78.27","682,846"
05/23/2023,"77.93","79.57","77.32","77.57","816,525"
05/22/2023,"77.63","81.91","77.63","78.92","1,435,428"
05/19/2023,"80.58","80.82","77.74","78.09","1,215,385"
05/18/2023,"82.72","83.66","80.45","80.69","1,221,350"
05/17/2023,"85.01","86.95","78.13","82.53","3,376,046"
05/16/2023,"77.83","82.13","77.77","81.45","2,119,152"
05/15/2023,"76.14","78.35","75.40","78.22","1,025,102"
05/12/2023,"77.13","77.30","74.72","76.14","1,098,973"
05/11/2023,"77.78","80.38","77.30","77.64","1,136,197"
05/10/2023,"75.50","77.74","74.69","77.51","1,126,900"
05/09/2023,"77.58","78.24","73.92","74.14","1,147,627"
05/08/2023,"76.00","79.73","76.00","77.93","1,286,874"
05/05/2023,"75.33","77.99","75.30","76.85","890,301"
05/04/2023,"78.06","78.44","75.19","75.33","1,239,940"
05/03/2023,"84.05","84.11","74.64","75.36","2,894,050"
05/02/2023,"88.06","88.46","84.29","84.51","1,097,490"
05/01/2023,"86.65","89.25","86.65","88.74","458,245"
04/28/2023,"85.77","87.38","84.13","87.23","564,729"
04/27/2023,"87.16","87.86","85.95","86.90","460,493"
04/26/2023,"88.61","89.90","85.70","85.98","516,539"
04/25/2023,"87.86","88.29","86.31","86.79","405,048"
04/24/2023,"90.81","91.60","87.51","88.24","423,793"
04/21/2023,"89.70","90.98","88.86","90.83","366,944"
04/20/2023,"89.36","90.39","89.07","89.42","497,583"
04/19/2023,"90.92","91.96","90.32","90.86","421,002"
04/18/2023,"92.64","92.64","91.05","92.47","452,439"
04/17/2023,"90.27","91.08","89.77","90.86","361,997"
04/14/2023,"90.46","91.40","88.30","89.98","448,361"
04/13/2023,"90.16","92.97","90.16","91.35","548,432"
04/12/2023,"91.69","92.67","88.71","88.75","562,681"
04/11/2023,"91.15","92.15","88.81","90.04","682,799"
04/10/2023,"91.88","93.09","90.46","92.27","423,046"
04/06/2023,"94.52","95.46","92.95","93.40","602,531"
04/05/2023,"99.14","99.22","95.30","96.32","605,847"
04/04/2023,"98.50","101.55","98.45","99.81","667,919"
04/03/2023,"98.32","99.18","96.68","98.28","377,940"
03/31/2023,"96.47","100.20","95.94","99.80","768,329"
03/30/2023,"96.49","97.01","95.38","96.05","338,484"
03/29/2023,"94.54","95.93","94.10","95.17","336,229"
03/28/2023,"94.85","95.39","92.50","93.30","444,986"
03/27/2023,"95.17","96.38","93.84","95.52","932,860"
03/24/2023,"96.35","97.07","94.17","94.67","594,193"
03/23/2023,"93.48","97.40","92.41","96.94","788,860"
03/22/2023,"94.30","95.60","92.20","92.20","543,443"
03/21/2023,"91.73","95.71","91.33","94.40","1,021,884"
03/20/2023,"89.11","89.20","86.93","88.38","522,787"
03/17/2023,"90.41","90.88","87.17","89.26","555,140"
03/16/2023,"87.30","90.17","86.53","90.04","417,766"
03/15/2023,"87.68","87.90","85.19","87.11","449,337"
03/14/2023,"88.36","90.10","87.80","88.81","537,843"
03/13/2023,"85.44","88.96","83.73","86.11","521,153"
03/10/2023,"88.25","89.30","84.14","86.41","975,098"
03/09/2023,"93.04","94.70","89.01","89.70","652,772"
03/08/2023,"94.84","95.48","91.62","93.04","742,520"
03/07/2023,"93.92","97.99","93.50","95.15","904,568"
03/06/2023,"94.22","95.50","92.99","93.56","568,507"
03/03/2023,"90.24","93.99","90.11","93.96","623,111"
03/02/2023,"87.26","90.07","86.71","90.06","795,265"
03/01/2023,"90.00","90.58","87.20","87.85","1,065,693"
02/28/2023,"89.41","91.30","88.52","90.53","806,844"
02/27/2023,"89.70","91.40","88.93","90.00","657,210"
02/24/2023,"90.78","91.48","87.91","89.30","859,095"
02/23/2023,"92.31","93.43","90.09","92.84","1,174,322"
02/22/2023,"91.81","95.25","90.31","90.90","4,466,770"
02/21/2023,"82.89","83.49","80.76","80.87","1,303,671"
02/17/2023,"86.31","86.78","83.35","85.40","636,554"
02/16/2023,"88.29","89.34","86.11","86.56","668,182"
02/15/2023,"87.10","91.07","85.56","91.02","649,833"
02/14/2023,"84.49","89.08","82.86","86.93","383,042"
02/13/2023,"84.68","86.85","84.05","85.61","441,068"
02/10/2023,"85.55","86.01","83.85","84.67","400,033"
02/09/2023,"89.59","90.86","86.69","86.96","437,229"
02/08/2023,"90.54","91.53","87.90","88.42","349,309"
02/07/2023,"88.40","90.99","86.65","90.87","593,102"
02/06/2023,"88.28","89.97","87.76","88.68","507,165"
02/03/2023,"92.91","95.05","90.08","90.44","759,911"
02/02/2023,"93.10","97.08","93.10","96.92","1,252,111"
02/01/2023,"86.73","90.87","85.04","90.51","769,595"
01/31/2023,"85.85","87.41","85.41","86.98","469,485"
01/30/2023,"87.04","87.56","84.67","85.72","397,999"
01/27/2023,"87.22","89.51","86.83","88.27","578,598"
01/26/2023,"87.85","88.71","85.00","87.52","338,690"
01/25/2023,"86.23","86.47","83.11","85.48","512,345"
01/24/2023,"87.37","89.06","86.61","86.84","407,327"
01/23/2023,"86.01","89.34","85.95","88.44","803,591"
01/20/2023,"82.76","85.60","81.69","85.58","451,515"
01/19/2023,"82.01","82.92","80.57","81.88","578,126"
01/18/2023,"84.75","86.84","82.90","82.91","610,858"
01/17/2023,"83.00","84.65","81.22","84.05","575,958"
01/13/2023,"80.03","83.41","80.00","83.10","681,797"
01/12/2023,"81.09","82.12","77.40","81.74","884,741"
01/11/2023,"76.11","78.33","76.11","78.11","526,082"
01/10/2023,"76.95","78.70","76.41","76.85","563,938"
01/09/2023,"76.20","78.74","75.85","77.07","1,148,661"
01/06/2023,"75.13","75.28","70.28","74.62","733,591"
01/05/2023,"77.48","78.20","74.26","74.92","1,077,682"
01/04/2023,"76.74","78.40","75.31","78.21","600,404"
01/03/2023,"77.57","79.13","75.31","75.51","626,510"
12/30/2022,"73.99","77.18","73.99","76.83","602,682"
12/29/2022,"72.05","75.95","71.81","75.71","707,874"
12/28/2022,"72.66","73.86","71.22","71.27","947,277"
12/27/2022,"75.24","75.70","72.91","73.37","831,120"
12/23/2022,"77.94","77.94","75.37","76.27","798,649"
12/22/2022,"80.05","80.98","76.53","78.64","583,803"
12/21/2022,"80.23","82.00","79.19","81.19","395,153"
12/20/2022,"77.81","80.70","77.51","80.10","595,356"
12/19/2022,"81.01","81.01","78.13","78.74","667,679"
12/16/2022,"80.81","82.39","79.40","80.89","1,141,620"
12/15/2022,"82.44","83.67","80.68","81.31","981,269"
12/14/2022,"84.38","86.13","83.30","84.79","804,762"
12/13/2022,"89.10","90.00","83.49","85.61","644,266"
12/12/2022,"82.70","83.88","82.00","83.75","771,064"
12/09/2022,"83.78","84.44","82.50","82.74","565,725"
12/08/2022,"80.55","84.63","80.31","83.86","646,718"
12/07/2022,"81.56","82.33","79.75","80.29","753,319"
12/06/2022,"85.07","85.41","80.14","81.57","1,162,042"
12/05/2022,"88.94","90.37","85.34","85.57","1,060,710"
12/02/2022,"88.16","91.79","86.66","89.44","921,768"
12/01/2022,"90.77","95.78","90.76","91.14","1,149,853"
11/30/2022,"84.17","90.49","84.09","90.49","794,258"
11/29/2022,"84.11","86.98","84.11","84.55","617,757"
11/28/2022,"85.88","88.16","84.03","84.08","523,671"
11/25/2022,"84.37","86.75","84.08","86.36","178,446"
11/23/2022,"84.00","85.69","83.48","84.86","695,146"
11/22/2022,"83.68","85.40","81.83","83.85","765,060"
11/21/2022,"83.61","86.04","83.00","83.76","606,132"
11/18/2022,"88.86","88.86","84.06","85.09","447,798"
11/17/2022,"85.26","88.23","83.74","86.65","603,706"
11/16/2022,"88.99","90.84","87.02","87.13","886,356"
11/15/2022,"90.05","91.94","89.51","91.24","836,293"
11/14/2022,"83.54","88.07","80.86","86.92","1,136,290"
11/11/2022,"82.50","86.39","82.41","84.99","1,369,648"
11/10/2022,"81.35","86.72","80.00","83.69","2,778,050"
11/09/2022,"68.74","70.08","67.50","69.52","1,169,270"
11/08/2022,"71.47","71.47","66.83","69.71","1,304,905"
11/07/2022,"70.67","70.90","66.18","70.64","1,210,961"
11/04/2022,"80.36","80.84","69.62","70.35","1,391,487"
11/03/2022,"77.67","81.46","76.83","80.33","577,005"
11/02/2022,"83.14","83.29","78.94","79.09","601,104"
11/01/2022,"86.74","88.12","83.81","83.84","566,571"
10/31/2022,"84.44","86.13","83.39","84.10","367,771"
10/28/2022,"82.09","85.29","80.53","85.17","479,588"
10/27/2022,"83.51","86.67","83.21","83.35","475,153"
10/26/2022,"83.84","87.44","82.15","83.02","733,394"
10/25/2022,"79.13","86.21","79.13","85.97","1,265,660"
10/24/2022,"79.80","79.80","74.82","78.31","502,881"
10/21/2022,"78.71","79.98","74.66","79.81","503,790"
10/20/2022,"73.36","80.32","72.71","79.48","1,102,051"
10/19/2022,"74.49","75.53","72.41","72.71","562,946"
10/18/2022,"77.29","78.58","74.73","75.88","526,804"
10/17/2022,"73.16","75.18","72.55","74.08","500,872"
10/14/2022,"73.82","75.18","70.35","70.41","514,643"
10/13/2022,"69.50","73.18","67.37","72.35","976,205"
10/12/2022,"74.24","74.64","71.76","72.53","674,393"
10/11/2022,"74.88","76.35","71.40","74.60","637,206"